43 -22.961128 -43.433916 0 0.0 0.8242751730658695 0.0 0.016830717087821793  909 0.916 724 0.936 979 0.958 1206 0.915 512 0.958 546 0.936
44 -22.990481 -43.437702 0 0.03017202154057773 0.3425679281514681 0.3915034512042846 0.1435028022061796  1267 0.958 100 0.935 146 0.935 955 0.915 178 0.958 839 0.915
45 -22.877328 -43.554803 0 0.05869749112759585 0.2550962629383355 0.4813278898142066 0.2089103503720132  1435 0.959 1113 0.937 1065 0.937 1548 0.916 1248 0.916 853 0.959
46 -23.049174 -43.654351 0 0.0 0.679539023292014 0.0 0.045387438040577176  516 0.955 1020 0.845 1389 0.813 1239 0.762
47 -23.052137 -43.568298 0 0.0 0.8233744319373735 0.0 0.059632135044967005  863 0.914 401 0.730 1170 0.931 1037 0.935 1498 0.958 243 0.935
48 -22.999017 -43.345697 0 0.20342331070176528 0.097853693995725 0.4930589381620508 0.21358743372082917  215 0.935 249 0.935 4 0.958 1019 0.915 50 0.958 112 0.915
49 -22.916200 -43.371361 0 0.004486601000413655 0.011725638178820658 0.8084977521474972 0.5550941556831791  667 0.916 311 0.959 958 0.959 149 0.916 1579 0.936 767 0.936
50 -22.997699 -43.336443 0 0.14731882182574718 0.2899765854818844 0.33443326008398977 0.21359257442630014  1 0.935 249 0.915 48 0.958 1019 0.935 429 0.915 1155 0.958
51 -22.918692 -43.746326 0 0.7877365628719982 0.03653272967163343 0.0 0.13158547232285941  173 0.958 1015 0.937 1052 0.915 957 0.958 943 0.915 459 0.937
52 -22.922575 -43.774075 0 0.07834148119616514 0.7458605639378431 0.0 0.13157473701798683  736 0.915 245 0.958 1418 0.937 438 0.956 930 0.937 1333 0.782
53 -22.870784 -43.508551 0 0.011154604752414317 0.3141548828072416 0.4848502274452648 0.40526724583950197  265 0.937 355 0.959 684 0.937 1346 0.959 604 0.916 143 0.916
54 -22.950832 -43.412153 0 0.0 0.8243826890904203 0.0 0.15717281304887637  693 0.958 290 0.936 542 0.916 498 0.958 1285 0.936 603 0.916
55 -22.849243 -43.256037 0 0.04410098700864764 0.005279305984209087 0.7740835655474833 1.1092459174247815  580 0.936 1305 0.958 1180 0.936 536 0.890 1376 0.917 1393 0.959
56 -22.886465 -43.619555 0 0.07745157379360643 0.18417154598402244 0.47256610013499295 0.3362402979571689  621 0.916 967 0.916 425 0.937 15 0.958 1474 0.958 659 0.937
57 -22.994932 -43.622217 0 0.0 0.11213097803796315 0.5714247296903282 0.06216023314514879  700 0.958 881 0.915 534 0.936 93 0.936 734 0.915 1405 0.958
58 -22.861981 -43.548283 0 0.3009783850912017 0.16960992563391578 0.09724708245845086 0.2089442338540789  480 0.937 1115 0.937 849 0.959 320 0.959 1248 0.916 870 0.916
59 -22.870146 -43.351810 0 0.04689459617297497 0.016693858489628677 0.7615208787162767 1.2321116778048697  859 0.936 415 0.917 251 0.917 365 0.959 91 0.959 440 0.936
60 -22.892087 -43.404584 0 0.22777912772824313 0.4974596386433515 0.049025310970559004 0.15386083050976412  1201 0.936 1542 0.959 921 0.959 1005 0.936 1373 0.916 321 0.916
61 -22.797886 -43.199477 0 0.10158893301626479 8.270324738019912e-06 0.7119020196209218 1.160984981706096  224 0.912 1219 0.930 1452 0.960 1434 0.973
62 -22.979610 -43.615694 0 0.0 0.5138349834996381 0.037362577860718 0.05967185945376061  1231 0.915 1510 0.958 1423 0.958 881 0.915 852 0.936 1518 0.936
63 -22.949044 -43.298387 0 0.0 0.8245080532305965 0.0 0.09511619885129567  768 0.936 244 0.959 964 0.936 1481 0.959 1584 0.916 1472 0.916
